Date : 2020-07-08 18:11:29
Directory : /Users/steveyu/algorithm
Total : 346 files,  12755 codes, 162 comments, 334 blanks, all 13251 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        339 |     12,259 |        144 |        278 |     12,681 |
| C        |          6 |        494 |         18 |         54 |        566 |
| Markdown |          1 |          2 |          0 |          2 |          4 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                |        346 |     12,755 |        162 |        334 |     13,251 |
| 2018年冬季PAT真题                                                                     |          4 |        150 |          4 |          4 |        158 |
| 2019年冬季PAT真题                                                                     |          4 |        157 |          8 |          3 |        168 |
| 2019年秋季PAT真题                                                                     |          4 |        192 |          5 |         28 |        225 |
| 3.23试卷                                                                           |          3 |         78 |          0 |          0 |         78 |
| PTA520                                                                           |          2 |         39 |          0 |          1 |         40 |
| advanced                                                                         |        156 |      5,715 |         30 |         83 |      5,828 |
| data-structure-pta                                                               |         20 |        753 |         16 |         28 |        797 |
| dp                                                                               |          4 |         54 |         13 |          4 |         71 |
| graph                                                                            |         10 |        250 |          2 |          6 |        258 |
| graph/shorest_path                                                               |          6 |        159 |          0 |          4 |        163 |
| graph/traversal                                                                  |          4 |         91 |          2 |          2 |         95 |
| leetcode                                                                         |          2 |         69 |         11 |          5 |         85 |
| practice                                                                         |         10 |        290 |          0 |         31 |        321 |
| sort                                                                             |          4 |         80 |          0 |          3 |         83 |
| top                                                                              |          1 |         38 |          0 |          1 |         39 |
| tree                                                                             |         25 |        976 |          8 |          9 |        993 |
| tree/avl_tree                                                                    |          2 |        159 |          6 |          1 |        166 |
| tree/binary_search_tree                                                          |          3 |        101 |          0 |          1 |        102 |
| tree/binary_tree                                                                 |          9 |        354 |          2 |          1 |        357 |
| tree/common_tree                                                                 |          7 |        227 |          0 |          5 |        232 |
| tree/heap                                                                        |          3 |         89 |          0 |          1 |         90 |
| tree/red_black_tree                                                              |          1 |         46 |          0 |          0 |         46 |
| 浙大2018考研复试上机模拟                                                                   |          4 |        128 |          2 |          3 |        133 |
| 浙大2019保研上机模拟卷                                                                    |          4 |        137 |          6 |          4 |        147 |
| 浙大2019年考研复试上机模拟                                                                  |          4 |        207 |          6 |          5 |        218 |
| 甲级                                                                               |         66 |      2,573 |         12 |         17 |      2,602 |
| 程序员面试金典                                                                          |          6 |         91 |          3 |          2 |         96 |
| 钻石样卷1                                                                            |          7 |        121 |          0 |          1 |        122 |
| 高级数据结构                                                                           |          5 |        655 |         36 |         94 |        785 |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                         | language | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /Users/steveyu/algorithm/2018年冬季PAT真题/7-1.Google Recruitment.cpp                 | C++      |         22 |          0 |          1 |         23 |
| /Users/steveyu/algorithm/2018年冬季PAT真题/7-2.Decode Registration Card of PAT.cpp    | C++      |         65 |          2 |          1 |         68 |
| /Users/steveyu/algorithm/2018年冬季PAT真题/7-3.vetex color.cpp                        | C++      |         28 |          2 |          1 |         31 |
| /Users/steveyu/algorithm/2018年冬季PAT真题/7-4.Heap Path.cpp                          | C++      |         35 |          0 |          1 |         36 |
| /Users/steveyu/algorithm/2019年冬季PAT真题/1.HelloWorld.cpp                           | C++      |         36 |          2 |          0 |         38 |
| /Users/steveyu/algorithm/2019年冬季PAT真题/2.BlockReversing.cpp                       | C++      |         36 |          2 |          1 |         39 |
| /Users/steveyu/algorithm/2019年冬季PAT真题/3.summit.cpp                               | C++      |         43 |          2 |          1 |         46 |
| /Users/steveyu/algorithm/2019年冬季PAT真题/4.Cartesian Tree.cpp                       | C++      |         42 |          2 |          1 |         45 |
| /Users/steveyu/algorithm/2019年秋季PAT真题/7-1.forever num.cpp                        | C++      |         59 |          2 |         14 |         75 |
| /Users/steveyu/algorithm/2019年秋季PAT真题/7-2.merging linked list.cpp                | C++      |         48 |          0 |          0 |         48 |
| /Users/steveyu/algorithm/2019年秋季PAT真题/7-3.postfix express.cpp                    | C++      |         29 |          0 |          0 |         29 |
| /Users/steveyu/algorithm/2019年秋季PAT真题/7-4.dijstra sequence.cpp                   | C++      |         56 |          3 |         14 |         73 |
| /Users/steveyu/algorithm/3.23试卷/7-1.Knuth洗牌法.cpp                                 | C++      |         17 |          0 |          0 |         17 |
| /Users/steveyu/algorithm/3.23试卷/7-2.三阶幸福数.cpp                                    | C++      |         34 |          0 |          0 |         34 |
| /Users/steveyu/algorithm/3.23试卷/7-3.垃圾分类.cpp                                     | C++      |         27 |          0 |          0 |         27 |
| /Users/steveyu/algorithm/PTA520/test.cpp                                         | C++      |         35 |          0 |          0 |         35 |
| /Users/steveyu/algorithm/PTA520/test2.cpp                                        | C++      |          4 |          0 |          1 |          5 |
| /Users/steveyu/algorithm/README.md                                               | Markdown |          2 |          0 |          2 |          4 |
| /Users/steveyu/algorithm/advanced/1001.A+B format.cpp                            | C++      |         20 |          0 |          1 |         21 |
| /Users/steveyu/algorithm/advanced/1002.A+B for Polynomials.cpp                   | C++      |         22 |          0 |          1 |         23 |
| /Users/steveyu/algorithm/advanced/1003.Emergency(练习堆优化).cpp                      | C++      |         47 |          0 |          1 |         48 |
| /Users/steveyu/algorithm/advanced/1003.Emergency.cpp                             | C++      |         48 |          0 |          1 |         49 |
| /Users/steveyu/algorithm/advanced/1004.counting leaves.cpp                       | C++      |         48 |          0 |          0 |         48 |
| /Users/steveyu/algorithm/advanced/1005.spell it right.cpp                        | C++      |         16 |          0 |          1 |         17 |
| /Users/steveyu/algorithm/advanced/1006.Sign in and Sign out.cpp                  | C++      |         21 |          0 |          1 |         22 |
| /Users/steveyu/algorithm/advanced/1007.Maximum Subsequence Sum.cpp               | C++      |         24 |          1 |          1 |         26 |
| /Users/steveyu/algorithm/advanced/1008.elevator.cpp                              | C++      |         15 |          0 |          1 |         16 |
| /Users/steveyu/algorithm/advanced/1009.Product of Polynomials.cpp                | C++      |         27 |          0 |          1 |         28 |
| /Users/steveyu/algorithm/advanced/1010.Radix.cpp                                 | C++      |         26 |          0 |          1 |         27 |
| /Users/steveyu/algorithm/advanced/1011.World Cup Betting.cpp                     | C++      |         24 |          0 |          1 |         25 |
| /Users/steveyu/algorithm/advanced/1012.The Best Rank.cpp                         | C++      |         45 |          0 |          1 |         46 |
| /Users/steveyu/algorithm/advanced/1013.Battle Over Cities.cpp                    | C++      |         37 |          0 |          1 |         38 |
| /Users/steveyu/algorithm/advanced/1014.Waiting in line.cpp                       | C++      |         60 |          0 |          1 |         61 |
